_id,name,card_type,lane,coluna_kanban,sprint,createdAt,dtDone,estimated_days,actual_days,slippage,aging_days
CARD-001,Bug task 1,Bug,Done,Done,Sprint 14,2026-05-13,2026-05-17,2,4,2,
CARD-002,Feature task 2,Feature,Done,Done,Sprint 11,2026-02-01,2026-02-03,1,2,1,
CARD-003,Bug task 3,Bug,Done,Done,Sprint 10,2026-05-23,2026-05-25,2,2,0,
CARD-004,Bug task 4,Bug,Done,Done,Sprint 18,2025-12-08,2025-12-10,1,2,1,
CARD-005,Bug task 5,Bug,Done,Done,Sprint 18,2026-05-04,2026-05-13,9,9,0,
CARD-006,Feature task 6,Feature,Done,Done,Sprint 14,2026-03-18,2026-03-23,4,5,1,
CARD-007,Feature task 7,Feature,Done,Done,Sprint 15,2025-12-02,2025-12-04,2,2,0,
CARD-008,Feature task 8,Feature,Done,Done,Sprint 15,2026-02-10,2026-02-14,3,4,1,
CARD-009,Bug task 9,Bug,Done,Done,Sprint 15,2025-12-27,2025-12-30,2,3,1,
CARD-010,Tech Debt task 10,Tech Debt,Done,Done,Sprint 17,2026-02-27,2026-02-28,1,1,0,
CARD-011,Bug task 11,Bug,Done,Done,Sprint 16,2026-04-17,2026-04-18,1,1,0,
CARD-012,Tech Debt task 12,Tech Debt,Done,Done,Sprint 15,2025-12-21,2025-12-25,4,4,0,
CARD-013,Feature task 13,Feature,Done,Done,Sprint 10,2026-04-27,2026-05-05,8,8,0,
CARD-014,Feature task 14,Feature,Done,Done,Sprint 11,2026-05-19,2026-05-21,2,2,0,
CARD-015,Bug task 15,Bug,Done,Done,Sprint 17,2026-01-29,2026-01-31,1,2,1,
CARD-016,Tech Debt task 16,Tech Debt,Done,Done,Sprint 15,2026-05-12,2026-05-15,2,3,1,
CARD-017,Tech Debt task 17,Tech Debt,Done,Done,Sprint 11,2026-01-23,2026-01-25,2,2,0,
CARD-018,Feature task 18,Feature,Done,Done,Sprint 13,2026-05-05,2026-05-07,2,2,0,
CARD-019,Ops task 19,Ops,Done,Done,Sprint 18,2026-01-11,2026-01-14,2,3,1,
