Data_Simulacao,Backlog_Atual,P50_Dias,P85_Dias,P95_Dias
2026-05-07 16:53:54,1111,147,159,165
2026-05-11 16:04:43,1668,221,235,244
2026-05-11 16:54:22,Geral,1668,220,235,244
2026-05-11 17:22:07,Geral,1668,184,197,205
2026-05-11 17:22:13,60eedb232ea73100112d2c74,581,162,175,184
2026-05-11 17:22:17,60eedb232ea73100112d2c75,274,128,145,155
2026-05-11 17:22:21,60eedb232ea73100112d2c76,588,108,116,122
2026-05-11 17:22:22,60eedb232ea73100112d2c77,19,11,16,18
2026-05-11 17:22:22,61802f4b675210c427d61db7,96,27,31,34
2026-05-11 17:22:23,62bc98d80964b4d43916896d,59,20,25,29
2026-05-11 17:22:23,62ea80e62c39c6565f206dea,3,3,3,3
2026-05-11 17:22:24,62d55cb3f38c4880916e392f,9,9,9,9
2026-05-11 17:22:24,62d82213f38c4880916f0231,35,16,21,24
2026-05-11 17:22:24,62deac138eb2931cccec63ca,3,2,3,3
2026-05-12 16:06:28,GERAL (Board Inteiro),1668,184,197,205
2026-05-12 16:06:35,60eedb232ea73100112d2c74,581,162,175,184
2026-05-12 16:06:41,60eedb232ea73100112d2c75,274,128,145,155
2026-05-12 16:06:47,60eedb232ea73100112d2c76,588,108,117,121
2026-05-12 16:06:47,60eedb232ea73100112d2c77,19,11,16,18
2026-05-12 16:06:49,61802f4b675210c427d61db7,96,27,31,33
2026-05-12 16:06:50,62bc98d80964b4d43916896d,59,20,25,29
2026-05-12 16:06:50,62ea80e62c39c6565f206dea,3,3,3,3
2026-05-12 16:06:50,62d55cb3f38c4880916e392f,9,9,9,9
2026-05-12 16:06:51,62d82213f38c4880916f0231,35,16,21,23
2026-05-12 16:06:51,62deac138eb2931cccec63ca,3,2,3,3
2026-05-12 16:10:54,GERAL (Board Inteiro),1668,184,197,205
2026-05-12 16:10:59,60eedb232ea73100112d2c74,581,162,175,183
2026-05-12 16:11:04,60eedb232ea73100112d2c75,274,128,145,155
2026-05-12 16:11:08,60eedb232ea73100112d2c76,588,108,117,122
2026-05-12 16:11:08,60eedb232ea73100112d2c77,19,11,16,18
2026-05-12 16:11:09,61802f4b675210c427d61db7,96,27,31,34
2026-05-12 16:11:10,62bc98d80964b4d43916896d,59,20,25,28
2026-05-12 16:11:10,62ea80e62c39c6565f206dea,3,3,3,3
2026-05-12 16:11:10,62d55cb3f38c4880916e392f,9,9,9,9
2026-05-12 16:11:11,62d82213f38c4880916f0231,35,16,21,23
2026-05-12 16:11:11,62deac138eb2931cccec63ca,3,2,3,3
2026-05-12 16:16:11,GERAL (Board Inteiro),1668,184,197,205
2026-05-12 16:16:16,História,581,161,175,183
2026-05-12 16:16:21,Épico,274,128,145,155
2026-05-12 16:16:24,Bug,588,108,116,121
2026-05-12 16:16:24,Tarefa,19,11,16,18
2026-05-12 16:16:25,Melhoria,96,27,31,34
2026-05-12 16:16:26,62bc98d80964b4d43916896d,59,20,25,28
2026-05-12 16:16:26,62ea80e62c39c6565f206dea,3,3,3,3
2026-05-12 16:16:26,62d55cb3f38c4880916e392f,9,9,9,9
2026-05-12 16:16:27,62d82213f38c4880916f0231,35,16,21,23
2026-05-12 16:16:27,62deac138eb2931cccec63ca,3,2,3,3
2026-05-12 16:30:52,GERAL,1668,184,197,204
2026-05-12 16:30:57,História,581,162,176,184
2026-05-12 16:31:01,Épico,274,128,145,155
2026-05-12 16:31:05,Bug,588,108,116,121
2026-05-12 16:31:05,Tarefa,19,11,16,18
2026-05-12 16:31:06,Melhoria,96,27,31,34
2026-05-12 16:31:07,Spike/R&D,59,20,25,29
2026-05-12 16:31:07,62ea80e62c39c6565f206dea,3,3,3,3
2026-05-12 16:31:07,62d55cb3f38c4880916e392f,9,9,9,9
2026-05-12 16:31:08,Suporte/Incidentes,35,16,21,23
2026-05-12 16:31:08,62deac138eb2931cccec63ca,3,2,3,3
2026-05-12 16:36:09,GERAL,1668,184,197,204
2026-05-12 16:42:40,GERAL,1665,183,197,204
2026-05-12 16:45:02,GERAL,1665,183,196,205
2026-05-12 17:02:07,GERAL,1665,183,196,205
2026-05-12 17:02:13,História,581,162,175,183
2026-05-12 17:02:17,Épico,274,128,145,155
2026-05-12 17:02:21,Bug,586,108,116,121
2026-05-12 17:02:21,Tarefa,19,11,16,18
2026-05-12 17:02:22,Melhoria,95,27,31,33
2026-05-12 17:02:23,Spike/R&D,59,20,25,29
2026-05-12 17:02:23,62ea80e62c39c6565f206dea,3,3,3,3
2026-05-12 17:02:23,62d55cb3f38c4880916e392f,9,9,9,9
2026-05-12 17:02:24,Suporte/Incidentes,35,16,21,23
2026-05-12 17:02:24,62deac138eb2931cccec63ca,3,2,3,3
2026-05-18 14:38:42,GERAL,1665,184,197,204
2026-05-18 14:38:47,INI,581,162,175,183
2026-05-18 14:38:51,EPC,274,128,145,154
2026-05-18 14:38:55,UST,586,108,116,121
2026-05-18 14:38:55,BUG,19,11,16,18
2026-05-18 14:38:56,OPS,95,27,31,33
2026-05-18 14:38:57,TST,59,20,25,28
2026-05-18 14:38:57,UTSK,3,3,3,3
2026-05-18 14:38:57,IMP,9,9,9,9
